Test Set #1
 8 to 16: 3
18 to  6: 4
20 to  2: 4
14 to  3: 2
 1 to 19: 1
 4 to  3: 3
12 to 19: 3
 4 to 16: 1
 3 to 14: 2
 8 to 16: 3
10 to  2: 1
14 to 10: 3
 9 to 16: 2
 3 to  8: 1
13 to 14: 2
10 to 15: 2
 8 to  4: 2
 3 to 10: 1
11 to  2: 1
 7 to 16: 3
19 to 12: 3
 5 to  6: 3
 2 to  6: 3
20 to 19: 3
18 to 11: 1
 3 to 16: 3
 5 to  6: 3
12 to  7: 3
 7 to  5: 1
 2 to  1: 2

Test Set #2
10 to  2: 3
 3 to  7: 4
 3 to 17: 3
10 to  5: 3
 6 to  1: 1
 3 to 19: 3
 1 to 20: 2
 5 to  9: 2
15 to 18: 3
 7 to 14: 5
15 to 12: 4
15 to 16: 4
13 to 20: 1
 8 to 19: 3
 9 to  4: 3
14 to 19: 4
 8 to 12: 4
14 to 11: 1
 8 to 12: 4
19 to 14: 4
19 to 14: 4
 3 to  4: 4
 7 to 12: 5
12 to 18: 3
11 to 18: 3
17 to 12: 4
15 to 16: 4
12 to 20: 4
 2 to 20: 2
13 to  3: 2

Test Set #3
 8 to 17: 4
14 to 15: 2
13 to  7: 3
 5 to  3: 3
 8 to 16: 2
 8 to  5: 4
15 to  5: 2
 7 to  3: 1
16 to  1: 2
15 to 13: 2
18 to 14: 3
 5 to  6: 2
 7 to  5: 4
 3 to  6: 3
 8 to 16: 2
15 to 13: 2
 2 to  5: 4
 9 to 17: 2
16 to  4: 1
 2 to 16: 4
 3 to  2: 3
14 to 20: 2
 3 to 14: 2
18 to  5: 4
 6 to 19: 4
15 to 20: 2
20 to  5: 3
16 to 18: 2
19 to  9: 2
19 to  9: 2

Test Set #4
 3 to  7: 2
 2 to  4: 3
 1 to 15: 2
 9 to  3: 4
13 to 19: 1
16 to 14: 1
15 to 20: 3
 1 to  8: 2
 7 to  5: 2
11 to 12: 3
14 to 18: 1
14 to 15: 3
19 to 17: 3
 6 to 14: 2
14 to 18: 1
 4 to 18: 3
18 to  9: 2
20 to  6: 1
20 to 12: 2
14 to 19: 2
 8 to  1: 2
13 to 12: 2
 7 to  2: 1
 3 to 14: 1
 9 to  1: 3
 5 to  9: 3
19 to  9: 3
18 to 16: 2
13 to  9: 2
13 to 14: 1

Test Set #5
18 to 10: 3
10 to 12: 3
 4 to  2: 3
 9 to  1: 3
 2 to  3: 3
19 to 13: 3
13 to 12: 2
10 to  1: 3
 5 to 18: 3
 2 to 13: 3
 2 to 19: 1
19 to  4: 2
 5 to 11: 2
14 to  7: 3
15 to 14: 2
 5 to  3: 3
 6 to  4: 2
 1 to  3: 2
18 to 14: 3
 6 to 19: 3
13 to  2: 3
11 to  3: 1
19 to 15: 2
11 to 19: 3
18 to  6: 2
14 to 20: 2
12 to 17: 2
 1 to  7: 2
11 to  1: 2
14 to  7: 3

Test Set #6
 4 to 13: 1
 1 to  8: 3
 7 to 10: 3
17 to 18: 2
13 to 20: 3
16 to 12: 3
11 to  2: 2
 9 to  8: 2
 4 to 14: 1
 9 to  6: 2
12 to  3: 2
20 to  3: 3
20 to 15: 3
 5 to 15: 3
 6 to 20: 2
 2 to  4: 2
20 to  2: 2
 6 to  3: 1
12 to  1: 3
 8 to 16: 3
 1 to  4: 3
10 to 18: 3
19 to  3: 1
20 to 18: 1
12 to  4: 2
18 to 13: 3
12 to  8: 1
 5 to  8: 1
10 to 19: 2
20 to 18: 1

Test Set #7
 1 to  8: 3
 9 to 18: 2
10 to  1: 3
 1 to 18: 2
17 to  3: 2
 9 to 10: 3
19 to  7: 2
 9 to 12: 2
 1 to  7: 2
15 to 20: 3
 9 to  7: 2
 3 to 19: 1
 6 to  8: 2
18 to 13: 1
20 to 17: 3
14 to 15: 2
 5 to 11: 3
17 to 19: 1
11 to 20: 2
20 to  9: 3
13 to 10: 2
17 to 19: 1
17 to 18: 2
 5 to  2: 3
 9 to  8: 2
15 to 12: 2
 7 to  9: 2
13 to 18: 1
10 to  2: 3
14 to  1: 1

Test Set #8
20 to 10: 3
 2 to  5: 6
15 to 17: 6
11 to 18: 5
 1 to 13: 4
 1 to 10: 3
 2 to  5: 6
13 to 17: 2
14 to  2: 3
13 to 20: 2
 3 to 17: 4
14 to  3: 2
 5 to  9: 3
 3 to  4: 2
 4 to 11: 3
20 to 15: 3
13 to  5: 3
 6 to 18: 3
11 to  3: 4
 7 to  9: 5
 4 to  5: 3
 7 to  3: 1
 5 to 16: 2
 8 to 11: 2
 3 to 11: 4
16 to  3: 3
 7 to 20: 2
 4 to 19: 3
15 to  7: 3
 7 to  3: 1

Test Set #9
 1 to 13: 3
 3 to  5: 3
19 to  5: 1
20 to  4: 1
14 to 10: 1
18 to  3: 3
 2 to 19: 3
 6 to 14: 2
11 to 18: 2
 9 to  6: 4
11 to  6: 3
18 to 10: 2
10 to 15: 1
19 to  2: 3
12 to 16: 2
 3 to  8: 2
14 to  9: 3
19 to  8: 2
18 to  5: 2
13 to  4: 1
19 to  8: 2
 9 to 10: 3
15 to  8: 1
14 to  4: 2
 2 to  5: 2
14 to  4: 2
17 to 13: 3
 8 to 12: 1
 7 to 11: 2
 3 to  5: 3

Test Set #10
 2 to 11: 2
17 to 10: 5
 6 to 17: 1
17 to 20: 3
 7 to 20: 2
 9 to 19: 2
 7 to 20: 2
 9 to  8: 3
15 to  9: 3
 3 to  2: 2
 1 to 20: 3
 8 to 13: 3
10 to 17: 5
 9 to  7: 3
 3 to  5: 3
17 to 15: 3
 2 to 14: 3
16 to  5: 2
18 to 10: 4
 7 to 13: 2
16 to  9: 2
13 to 20: 1
19 to  1: 2
 7 to 12: 2
 3 to 11: 1
12 to 11: 2
 5 to 14: 4
 9 to  1: 3
 6 to 13: 2
 5 to  1: 2

Test Set #11
17 to 19: 3
18 to 19: 2
13 to 15: 4
20 to 16: 1
 4 to  5: 3
 3 to  9: 3
17 to  4: 3
17 to 10: 3
15 to  7: 2
 3 to  6: 2
 9 to  5: 4
12 to  6: 2
 6 to  1: 3
 9 to 12: 3
19 to 20: 2
 9 to 14: 2
 4 to  1: 2
 4 to 10: 2
 7 to 17: 2
 7 to 20: 2
 2 to  5: 4
20 to 11: 3
12 to 16: 2
15 to 20: 2
 8 to  6: 2
 1 to 10: 1
 6 to 20: 2
 5 to  9: 4
13 to  5: 5
20 to 15: 2

Test Set #12
 8 to 17: 4
14 to 13: 8
20 to  7: 6
10 to  4: 5
16 to  3: 2
12 to  7: 2
 5 to  4: 3
16 to  8: 5
 6 to 17: 6
12 to  2: 1
10 to 19: 1
 2 to  6: 2
 4 to 15: 6
 4 to 20: 1
20 to  2: 5
17 to 13: 1
 9 to  6: 4
14 to  6: 1
 6 to 20: 7
 9 to  5: 3
18 to 11: 3
18 to  8: 7
14 to  6: 1
 3 to 10: 4
14 to  8: 9
11 to  9: 5
20 to 14: 8
19 to 11: 2
10 to  7: 4
13 to  3: 2

Test Set #13
14 to 15: 4
19 to 10: 5
12 to  4: 3
 3 to  2: 3
 2 to 16: 3
 1 to  4: 3
15 to 10: 3
19 to  6: 5
17 to  9: 2
 3 to  8: 4
15 to 13: 2
20 to  7: 5
 1 to  5: 2
16 to  5: 2
17 to 10: 2
11 to  3: 1
17 to 11: 2
 5 to 11: 1
12 to 14: 3
 9 to  4: 4
 9 to  2: 4
 2 to  4: 2
 7 to  9: 1
 7 to  1: 1
15 to  2: 2
14 to  3: 5
14 to 15: 4
18 to  1: 3
11 to 15: 2
 8 to  9: 1

Test Set #14
