Gender	Height	Weight
Male	174	96
Male	189	87
Female	185	110
Female	195	104
Male	149	61
Male	189	104
Male	147	92
Male	154	111
Male	174	90
Female	169	103
Male	195	81
Female	159	80
Female	192	101
Male	155	51
Male	191	79
Female	153	107
Female	157	110
Male	140	129
Male	144	145
Male	172	139
Male	157	110
Female	153	149
Female	169	97
Male	185	139
Female	172	67
Female	151	64
Male	190	95
Male	187	62
Female	163	159
Male	179	152
Male	153	121
Male	178	52
Female	195	65
Female	160	131
Female	157	153
Female	189	132
Female	197	114
Male	144	80
Female	171	152
Female	185	81
Female	175	120
Female	149	108
Male	157	56
Male	161	118
Female	182	126
Male	185	76
Female	188	122
Male	181	111
Male	161	72
Male	140	152
Female	168	135
Female	176	54
Male	163	110
Male	172	105
Male	196	116
Female	187	89
Male	172	92
Male	178	127
Female	164	70
Male	143	88
Female	191	54
Female	141	143
Male	193	54
Male	190	83
Male	175	135
Female	179	158
Female	172	96
Female	168	59
Female	164	82
Female	194	136
Female	153	51
Male	178	117
Male	141	80
Male	180	75
Female	185	100
Female	197	154
Male	165	104
Female	168	90
Female	176	122
Male	181	51
Male	164	75
Female	166	140
Female	190	105
Male	186	118
Male	168	123
Male	198	50
Female	175	141
Male	145	117
Female	159	104
Female	185	140
Female	178	154
Female	183	96
Female	194	111
Male	177	61
Male	197	119
Female	170	156
Male	142	69
Male	160	139
Male	195	69
Female	190	50
Male	199	156
Male	154	105
Male	161	155
Female	198	145
Female	192	140
Male	195	126
Male	166	160
Male	159	154
Female	181	106
Male	149	66
Female	150	70
Female	146	157
Male	190	135
Female	192	90
Female	177	96
Male	148	60
Female	165	57
Female	146	104
Male	144	108
Female	176	156
Female	168	87
Male	187	122
Male	187	138
Female	184	160
Female	158	149
Male	158	96
Male	194	115
Female	145	79
Male	182	151
Male	154	54
Female	168	139
Female	187	70
Female	158	153
Female	167	110
Female	171	155
Female	183	150
Female	190	156
Male	194	108
Male	171	147
Male	159	124
Female	169	54
Female	167	85
Male	180	149
Male	163	123
Male	140	79
Male	197	125
Male	194	106
Female	140	146
Male	195	98
Female	168	115
Female	196	50
Male	140	52
Female	150	60
Female	168	140
Female	155	111
Female	179	103
Female	182	84
Male	168	160
Female	187	102
Male	181	105
Male	199	99
Female	184	76
Male	192	101
Female	182	143
Female	172	111
Male	181	78
Male	176	109
Female	156	106
Female	151	67
Female	188	80
Male	187	136
Male	174	138
Male	167	151
Female	196	131
Male	197	149
Female	185	119
Female	170	102
Female	181	94
Female	166	126
Male	188	100
Female	162	74
Male	177	117
Male	162	97
Male	180	73
Female	192	108
Male	165	80
Female	167	135
Female	182	84
Female	161	134
Male	158	95
Male	141	85
Male	154	100
Male	165	105
Female	142	137
Male	141	94
Male	145	108
Male	157	74
Female	177	117
Female	166	144
Male	193	151
Male	184	57
Male	179	93
Female	156	89
Male	182	104
Male	145	160
Female	150	87
Male	145	99
Female	196	122
Male	191	96
Female	148	67
Female	150	84
Male	148	155
Female	153	146
Female	196	159
Female	185	52
Female	171	131
Female	143	118
Female	142	86
Female	141	126
Male	159	109
Female	173	82
Male	183	138
Female	152	90
Male	178	140
Male	188	54
Female	155	144
Male	166	70
Male	188	123
Female	171	120
Male	179	130
Female	186	137
Female	153	78
Female	184	86
Female	177	81
Male	145	78
Male	170	81
Male	181	141
Male	165	155
Female	174	65
Female	146	110
Male	178	85
Male	166	61
Male	191	62
Female	177	155
Female	183	50
Male	151	114
Male	182	98
Female	142	159
Female	188	90
Male	161	89
Male	153	70
Male	140	143
Male	169	141
Female	162	159
Male	183	147
Female	162	58
Female	172	109
Female	150	119
Female	169	145
Female	184	132
Male	159	104
Male	163	131
Male	156	137
Female	157	52
Male	147	84
Male	141	86
Male	173	139
Male	154	145
Male	168	148
Male	168	50
Male	145	130
Male	152	103
Female	187	121
Female	163	57
Male	178	83
Female	187	94
Female	179	114
Male	190	80
Male	172	75
Male	188	57
Male	193	65
Female	147	126
Female	147	94
Male	166	107
Female	192	139
Male	181	139
Male	150	74
Male	178	160
Female	156	52
Male	149	100
Male	156	74
Male	183	105
Female	162	68
Female	165	83
Female	168	143
Male	160	156
Female	169	88
Female	140	76
Female	187	92
Male	151	82
Female	186	140
Male	182	108
Male	188	81
Male	179	110
Female	156	126
Male	188	114
Male	183	153
Male	144	88
Male	196	69
Male	171	141
Male	171	147
Female	180	156
Male	191	146
Female	179	67
Female	180	60
Female	154	132
Male	188	99
Male	142	135
Male	170	95
Male	152	141
Female	190	118
Female	181	111
Male	153	104
Male	187	140
Female	144	66
Female	148	54
Female	199	92
Female	167	85
Female	164	71
Female	185	102
Female	164	160
Male	142	71
Male	165	68
Female	172	62
Female	157	56
Male	155	57
Female	167	153
Female	164	126
Female	189	125
Female	161	145
Female	155	71
Female	171	118
Female	154	92
Male	179	83
Male	170	115
Female	184	106
Female	191	68
Male	162	58
Male	178	138
Female	157	60
Male	184	83
Male	197	88
Female	160	51
Male	184	153
Male	190	50
Male	174	90
Female	189	124
Female	186	143
Female	180	58
Female	186	148
Female	193	61
Male	161	103
Female	151	158
Female	195	147
Female	184	152
Male	141	80
Female	185	94
Female	186	127
Male	142	131
Female	147	67
Male	151	62
Female	160	124
Male	185	60
Female	163	63
Male	174	95
Female	150	144
Male	142	91
Male	178	142
Female	154	96
Male	176	87
Male	159	120
Male	191	62
Male	177	117
Male	151	154
Female	182	149
Female	197	72
Male	146	138
Female	160	83
Female	157	66
Female	150	50
Female	167	58
Female	180	70
Female	183	76
Female	183	87
Female	152	154
Female	164	71
Male	187	96
Male	169	136
Female	149	61
Male	163	137
Female	195	104
Male	174	107
Male	182	70
Male	169	110
Male	193	130
Male	148	141
Male	186	68
Male	165	143
Female	146	123
Female	166	133
Male	179	56
Female	177	101
Male	181	154
Female	161	154
Female	157	103
Female	169	98
Female	152	114
Female	162	64
Male	162	130
Female	177	61
Female	195	61
Male	140	146
Female	186	146
Female	178	107
Male	174	54
Female	180	59
Male	188	141
Female	187	130
Female	153	77
Female	165	95
Female	178	79
Female	163	154
Female	150	97
Male	179	127
Male	165	62
Male	168	158
Female	153	133
Male	184	157
Male	188	65
Female	166	153
Female	172	116
Male	182	73
Male	143	149
Male	152	146
Female	186	128
Male	159	140
Male	146	70
Female	176	121
Female	146	101
Male	159	145
Male	162	157
Female	172	90
Female	169	121
Male	182	50
Female	183	79
Male	176	77
Female	188	128
Female	175	83
Male	154	81
Female	184	147
Male	179	123
Male	152	132
Male	179	56
Female	145	141
Female	181	80
Male	158	127
Female	188	99
Male	145	142
Male	161	115
Male	198	109
Male	147	142
Male	154	112
Female	178	65
Male	195	153
Female	167	79
Male	183	131
Female	164	142
Male	167	64
Female	151	55
Female	147	107
Female	155	115
Female	172	108
Female	142	86
Male	146	85
Female	188	115
Male	173	111
Female	160	109
Male	187	80
Male	198	136
Female	179	150
Female	164	59
Female	146	147
Female	198	50
Female	170	53
Male	152	98
Female	150	153
Female	184	121
Female	141	136
Male	150	95
Male	173	131
