ID,label,label_id
0,street,5
1,forest,1
2,sea,4
3,forest,1
4,street,5
5,forest,1
6,forest,1
7,buildings,0
8,street,5
9,sea,4
10,glacier,2
11,mountain,3
12,forest,1
13,mountain,3
14,glacier,2
15,mountain,3
16,forest,1
17,glacier,2
18,glacier,2
19,sea,4
20,glacier,2
21,sea,4
22,glacier,2
23,forest,1
24,forest,1
25,glacier,2
26,glacier,2
27,street,5
28,buildings,0
29,buildings,0
30,street,5
31,street,5
32,forest,1
33,sea,4
34,buildings,0
35,sea,4
36,street,5
37,sea,4
38,glacier,2
39,sea,4
40,street,5
41,street,5
42,street,5
43,sea,4
44,street,5
45,glacier,2
46,forest,1
47,forest,1
48,glacier,2
49,sea,4
50,street,5
51,sea,4
52,glacier,2
53,forest,1
54,glacier,2
55,forest,1
56,mountain,3
57,buildings,0
58,forest,1
59,buildings,0
60,glacier,2
61,sea,4
62,glacier,2
63,sea,4
64,forest,1
65,buildings,0
66,buildings,0
67,sea,4
68,forest,1
69,forest,1
70,forest,1
71,sea,4
72,forest,1
73,glacier,2
74,street,5
75,mountain,3
76,glacier,2
77,forest,1
78,sea,4
79,street,5
80,forest,1
81,buildings,0
82,forest,1
83,forest,1
84,forest,1
85,buildings,0
86,mountain,3
87,buildings,0
88,glacier,2
89,buildings,0
90,glacier,2
91,street,5
92,sea,4
93,sea,4
94,mountain,3
95,street,5
96,street,5
97,forest,1
98,glacier,2
99,street,5
100,glacier,2
101,sea,4
102,sea,4
103,forest,1
104,buildings,0
105,forest,1
106,forest,1
107,forest,1
108,buildings,0
109,forest,1
110,sea,4
111,glacier,2
112,glacier,2
113,forest,1
114,forest,1
115,street,5
116,street,5
117,buildings,0
118,street,5
119,buildings,0
120,buildings,0
121,forest,1
122,glacier,2
123,sea,4
124,forest,1
125,mountain,3
126,street,5
127,street,5
128,buildings,0
129,buildings,0
130,forest,1
131,sea,4
132,forest,1
133,street,5
134,glacier,2
135,sea,4
136,glacier,2
137,buildings,0
138,glacier,2
139,sea,4
140,sea,4
141,mountain,3
142,street,5
143,buildings,0
144,glacier,2
145,buildings,0
146,buildings,0
147,forest,1
148,mountain,3
149,glacier,2
150,buildings,0
151,sea,4
152,street,5
153,sea,4
154,sea,4
155,street,5
156,buildings,0
157,buildings,0
158,glacier,2
159,forest,1
160,forest,1
161,forest,1
162,street,5
163,glacier,2
164,glacier,2
165,street,5
166,street,5
167,sea,4
168,sea,4
169,glacier,2
170,sea,4
171,street,5
172,sea,4
173,glacier,2
174,street,5
175,street,5
176,glacier,2
177,sea,4
178,street,5
179,glacier,2
180,street,5
181,street,5
182,buildings,0
183,sea,4
184,glacier,2
185,forest,1
186,forest,1
187,buildings,0
188,glacier,2
189,buildings,0
190,glacier,2
191,street,5
192,sea,4
193,street,5
194,buildings,0
195,glacier,2
196,buildings,0
197,forest,1
198,buildings,0
199,sea,4
200,glacier,2
201,street,5
202,buildings,0
203,sea,4
204,forest,1
205,buildings,0
206,sea,4
207,forest,1
208,forest,1
209,forest,1
210,glacier,2
211,sea,4
212,sea,4
213,glacier,2
214,street,5
215,street,5
216,glacier,2
217,mountain,3
218,glacier,2
219,street,5
220,glacier,2
221,buildings,0
222,glacier,2
223,forest,1
224,forest,1
225,forest,1
226,street,5
227,sea,4
228,glacier,2
229,sea,4
230,street,5
231,street,5
232,glacier,2
233,sea,4
234,forest,1
235,street,5
236,buildings,0
237,buildings,0
238,glacier,2
239,sea,4
240,glacier,2
241,sea,4
242,forest,1
243,glacier,2
244,buildings,0
245,buildings,0
246,glacier,2
247,glacier,2
248,mountain,3
249,street,5
250,forest,1
251,glacier,2
252,glacier,2
253,glacier,2
254,mountain,3
255,buildings,0
256,forest,1
257,forest,1
258,street,5
259,sea,4
260,glacier,2
261,street,5
262,street,5
263,forest,1
264,buildings,0
265,buildings,0
266,glacier,2
267,sea,4
268,buildings,0
269,glacier,2
270,street,5
271,forest,1
272,buildings,0
273,buildings,0
274,buildings,0
275,forest,1
276,sea,4
277,glacier,2
278,forest,1
279,sea,4
280,glacier,2
281,forest,1
282,sea,4
283,forest,1
284,glacier,2
285,buildings,0
286,forest,1
287,buildings,0
288,buildings,0
289,buildings,0
290,buildings,0
291,sea,4
292,sea,4
293,street,5
294,glacier,2
295,forest,1
296,buildings,0
297,sea,4
298,sea,4
299,glacier,2
300,forest,1
301,street,5
302,forest,1
303,forest,1
304,mountain,3
305,glacier,2
306,street,5
307,glacier,2
308,buildings,0
309,glacier,2
310,mountain,3
311,street,5
312,forest,1
313,buildings,0
314,glacier,2
315,sea,4
316,sea,4
317,street,5
318,buildings,0
319,sea,4
320,forest,1
321,glacier,2
322,sea,4
323,glacier,2
324,buildings,0
325,forest,1
326,forest,1
327,forest,1
328,street,5
329,sea,4
330,forest,1
331,mountain,3
332,mountain,3
333,sea,4
334,street,5
335,street,5
336,glacier,2
337,street,5
338,forest,1
339,forest,1
340,buildings,0
341,forest,1
342,glacier,2
343,street,5
344,glacier,2
345,street,5
346,buildings,0
347,forest,1
348,sea,4
349,sea,4
350,street,5
351,forest,1
352,buildings,0
353,forest,1
354,buildings,0
355,sea,4
356,street,5
357,forest,1
358,buildings,0
359,buildings,0
360,street,5
361,street,5
362,buildings,0
363,forest,1
364,buildings,0
365,glacier,2
366,glacier,2
367,forest,1
368,street,5
369,glacier,2
370,glacier,2
371,glacier,2
372,buildings,0
373,forest,1
374,forest,1
375,street,5
376,glacier,2
377,glacier,2
378,glacier,2
379,glacier,2
380,glacier,2
381,street,5
382,buildings,0
383,sea,4
384,glacier,2
385,sea,4
386,forest,1
387,buildings,0
388,sea,4
389,glacier,2
390,street,5
391,buildings,0
392,buildings,0
393,buildings,0
394,buildings,0
395,street,5
396,sea,4
397,street,5
398,glacier,2
399,forest,1
400,sea,4
401,buildings,0
402,buildings,0
403,sea,4
404,sea,4
405,street,5
406,sea,4
407,sea,4
408,street,5
409,mountain,3
410,buildings,0
411,glacier,2
412,street,5
413,sea,4
414,sea,4
415,mountain,3
416,buildings,0
417,street,5
418,sea,4
419,glacier,2
420,street,5
421,glacier,2
422,sea,4
423,glacier,2
424,forest,1
425,buildings,0
426,forest,1
427,buildings,0
428,glacier,2
429,buildings,0
430,glacier,2
431,sea,4
432,street,5
433,mountain,3
434,sea,4
435,sea,4
436,buildings,0
437,glacier,2
438,mountain,3
439,street,5
440,glacier,2
441,forest,1
442,buildings,0
443,glacier,2
444,forest,1
445,street,5
446,glacier,2
447,sea,4
448,buildings,0
449,street,5
450,sea,4
451,sea,4
452,street,5
453,glacier,2
454,buildings,0
455,sea,4
456,forest,1
457,street,5
458,street,5
459,buildings,0
460,street,5
461,buildings,0
462,glacier,2
463,glacier,2
464,sea,4
465,street,5
466,glacier,2
467,forest,1
468,sea,4
469,sea,4
470,glacier,2
471,glacier,2
472,forest,1
473,glacier,2
474,glacier,2
475,sea,4
476,buildings,0
477,sea,4
478,forest,1
479,forest,1
480,glacier,2
481,sea,4
482,street,5
483,forest,1
484,street,5
485,buildings,0
486,buildings,0
487,street,5
488,glacier,2
489,buildings,0
490,glacier,2
491,glacier,2
492,forest,1
493,glacier,2
494,mountain,3
495,forest,1
496,buildings,0
497,street,5
498,forest,1
499,forest,1
500,street,5
501,forest,1
502,buildings,0
503,glacier,2
504,mountain,3
505,glacier,2
506,mountain,3
507,forest,1
508,buildings,0
509,buildings,0
510,forest,1
511,forest,1
512,buildings,0
513,buildings,0
514,forest,1
515,sea,4
516,street,5
517,glacier,2
518,buildings,0
519,glacier,2
520,forest,1
521,sea,4
522,glacier,2
523,street,5
524,street,5
525,sea,4
526,street,5
527,forest,1
528,sea,4
529,forest,1
530,street,5
531,buildings,0
532,forest,1
533,forest,1
534,street,5
535,buildings,0
536,buildings,0
537,glacier,2
538,forest,1
539,forest,1
540,glacier,2
541,glacier,2
542,sea,4
543,buildings,0
544,mountain,3
545,buildings,0
546,street,5
547,buildings,0
548,sea,4
549,glacier,2
550,sea,4
551,forest,1
552,buildings,0
553,forest,1
554,street,5
555,glacier,2
556,glacier,2
557,sea,4
558,forest,1
559,street,5
560,buildings,0
561,street,5
562,street,5
563,sea,4
564,glacier,2
565,forest,1
566,street,5
567,street,5
568,buildings,0
569,glacier,2
570,sea,4
571,forest,1
572,buildings,0
573,street,5
574,sea,4
575,forest,1
576,mountain,3
577,buildings,0
578,forest,1
579,forest,1
580,glacier,2
581,buildings,0
582,sea,4
583,buildings,0
584,forest,1
585,sea,4
586,forest,1
587,glacier,2
588,sea,4
589,buildings,0
590,glacier,2
591,sea,4
592,forest,1
593,buildings,0
594,glacier,2
595,buildings,0
596,sea,4
597,forest,1
598,glacier,2
599,glacier,2
600,forest,1
601,sea,4
602,street,5
603,street,5
604,forest,1
605,buildings,0
606,forest,1
607,street,5
608,buildings,0
609,forest,1
610,sea,4
611,buildings,0
612,forest,1
613,street,5
614,forest,1
615,buildings,0
616,sea,4
617,glacier,2
618,glacier,2
619,glacier,2
620,glacier,2
621,street,5
622,glacier,2
623,street,5
624,sea,4
625,buildings,0
626,street,5
627,buildings,0
628,glacier,2
629,street,5
630,glacier,2
631,glacier,2
632,street,5
633,sea,4
634,forest,1
635,buildings,0
636,street,5
637,forest,1
638,buildings,0
639,glacier,2
640,forest,1
641,buildings,0
642,forest,1
643,glacier,2
644,sea,4
645,glacier,2
646,street,5
647,street,5
648,glacier,2
649,buildings,0
650,buildings,0
651,glacier,2
652,buildings,0
653,forest,1
654,buildings,0
655,glacier,2
656,sea,4
657,street,5
658,street,5
659,glacier,2
660,street,5
661,forest,1
662,sea,4
663,buildings,0
664,street,5
665,sea,4
666,street,5
667,glacier,2
668,buildings,0
669,street,5
670,buildings,0
671,sea,4
672,sea,4
673,forest,1
674,buildings,0
675,forest,1
676,street,5
677,street,5
678,mountain,3
679,buildings,0
680,forest,1
681,buildings,0
682,glacier,2
683,sea,4
684,sea,4
685,glacier,2
686,buildings,0
687,buildings,0
688,buildings,0
689,buildings,0
690,forest,1
691,glacier,2
692,street,5
693,buildings,0
694,glacier,2
695,forest,1
696,glacier,2
697,forest,1
698,forest,1
699,forest,1
700,street,5
701,street,5
702,buildings,0
703,street,5
704,glacier,2
705,forest,1
706,mountain,3
707,forest,1
708,sea,4
709,mountain,3
710,forest,1
