ImageId, X_min, Y_min, X_max, Y_max
0.jpg, 112, 80, 309, 293
1.jpg, 211, 134, 461, 318
2.jpg, 92, 58, 412, 305
3.jpg, 53, 105, 369, 330
4.jpg, 87, 114, 268, 431
5.jpg, 0, 60, 396, 332
6.jpg, 68, 138, 251, 415
7.jpg, 74, 89, 176, 233
8.jpg, 59, 48, 394, 413
9.jpg, 53, 70, 335, 415
10.jpg, 60, 130, 495, 232
11.jpg, 118, 47, 242, 256
12.jpg, 40, 17, 470, 486
13.jpg, 37, 117, 268, 289
14.jpg, 79, 122, 261, 413
15.jpg, 126, 85, 468, 328
16.jpg, 170, 104, 387, 327
17.jpg, 79, 143, 288, 249
18.jpg, 84, 116, 239, 449
19.jpg, 77, 100, 226, 312
20.jpg, 160, 49, 344, 341
21.jpg, 117, 62, 497, 241
22.jpg, 157, 78, 349, 288
23.jpg, 70, 63, 269, 273
24.jpg, 144, 52, 327, 310
25.jpg, 89, 71, 376, 356
26.jpg, 125, 45, 499, 318
27.jpg, 59, 66, 489, 451
28.jpg, 118, 34, 245, 204
29.jpg, 130, 141, 410, 245
30.jpg, 59, 52, 282, 297
31.jpg, 94, 78, 261, 269
32.jpg, 7, 17, 355, 203
33.jpg, 126, 76, 414, 297
34.jpg, 43, 20, 351, 314
35.jpg, 99, 70, 253, 194
36.jpg, 56, 149, 310, 342
37.jpg, 0, 136, 313, 471
38.jpg, 183, 56, 419, 318
39.jpg, 95, 28, 462, 376
40.jpg, 85, 165, 286, 356
41.jpg, 41, 21, 259, 307
42.jpg, 149, 129, 340, 442
43.jpg, 4, 20, 299, 276
44.jpg, 32, 51, 425, 192
45.jpg, 95, 52, 454, 386
46.jpg, 62, 30, 376, 331
47.jpg, 126, 39, 320, 291
48.jpg, 155, 37, 446, 349
49.jpg, 179, 119, 267, 215
50.jpg, 117, 142, 327, 358
51.jpg, 207, 60, 356, 339
52.jpg, 26, 48, 245, 420
53.jpg, 120, 22, 339, 308
54.jpg, 44, 104, 294, 413
55.jpg, 79, 119, 365, 297
56.jpg, 221, 56, 433, 279
57.jpg, 1, 109, 187, 401
58.jpg, 56, 48, 353, 361
59.jpg, 110, 63, 272, 460
60.jpg, 34, 11, 169, 262
61.jpg, 116, 65, 363, 358
62.jpg, 85, 73, 215, 374
63.jpg, 82, 53, 403, 424
64.jpg, 119, 37, 271, 296
65.jpg, 129, 132, 326, 398
66.jpg, 75, 125, 358, 311
67.jpg, 110, 77, 371, 234
68.jpg, 123, 127, 341, 402
69.jpg, 151, 64, 278, 241
70.jpg, 88, 95, 456, 293
71.jpg, 296, 77, 429, 320
72.jpg, 69, 91, 382, 346
73.jpg, 108, 183, 234, 361
74.jpg, 135, 116, 352, 218
75.jpg, 46, 79, 426, 279
76.jpg, 70, 66, 430, 297
77.jpg, 47, 74, 260, 162
78.jpg, 91, 71, 206, 351
79.jpg, 192, 85, 378, 296
80.jpg, 32, 60, 478, 306
81.jpg, 64, 53, 345, 433
82.jpg, 144, 65, 400, 268
83.jpg, 27, 79, 273, 397
84.jpg, 116, 73, 376, 301
85.jpg, 115, 63, 436, 347
86.jpg, 73, 80, 259, 362
87.jpg, 33, 139, 189, 403
88.jpg, 122, 62, 450, 381
89.jpg, 126, 49, 325, 304
90.jpg, 32, 110, 196, 319
91.jpg, 39, 49, 165, 163
92.jpg, 137, 101, 250, 381
93.jpg, 82, 88, 307, 188
94.jpg, 95, 60, 389, 368
95.jpg, 23, 181, 308, 329
96.jpg, 135, 79, 264, 231
97.jpg, 99, 61, 333, 244
98.jpg, 1, 37, 440, 375
99.jpg, 21, 46, 426, 348
100.jpg, 41, 55, 295, 300
101.jpg, 16, 77, 328, 302
102.jpg, 89, 153, 242, 354
103.jpg, 122, 63, 300, 409
104.jpg, 55, 113, 362, 336
105.jpg, 88, 147, 249, 482
106.jpg, 184, 105, 300, 318
