"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT13","WT14","WT16","WT18","WT22"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-03","16.33",,"0.00","0.0","0.0",,"66","46","   10","   20","23.0","28.0",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-04","14.54",,"0.00","0.0","0.0",,"66","47","   20","   20","21.0","25.1",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-05","12.75",,"0.00","0.0","0.0",,"71","48","  360","  360","17.9","21.9",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-06","11.41",,"0.00","0.0","0.0",,"75","46","   20","   20","17.0","21.0",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-07","2.91",,"0.00","0.0","0.0",,"75","46","   30","   10","12.1","14.1",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-08","4.25",,"0.00","0.0","0.0",,"70","46","  210","  230","8.9","12.1",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-09","3.58",,"0.00","0.0","0.0",,"61","48","  170","  170","8.9","10.1",,,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-10","3.13",,"0.00","0.0","0.0",,"54","47","   40","   40","8.9","10.1",,"    1",,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-11","2.91",,"0.00","0.0","0.0",,"57","45","  270","   60","8.9","13.0","    1",,,,,"    1",,"    1",,,,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-12","10.29",,"0.08","0.0","0.0",,"57","48","  220","  230","16.1","21.9","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-13","8.72",,"0.19","0.0","0.0",,"60","54","  190","  190","15.0","21.0","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-14","7.61",,"0.65","0.0","0.0",,"64","56","  160","  200","17.0","23.0","    1",,,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-10-15","10.29",,"0.31","0.0","0.0",,"63","52","  210","  210","25.1","32.0","    1",,,,,,,"    1",,"    1",,
